name,category,street,sale date,tenure,sale price,land size,type
CHUAN PARK,OCR - [D19],LORONG CHUAN,1/7/2022,99 yrs lease commencing from 1980,890018304,619790,Condominium
LIANG COURT,RCR - [D6],RIVER VALLEY ROAD,1/11/2019,97 yrs lease commencing from 1980,163337760,354312,Apartment
PARK VIEW MANSION,OCR - [D22],YUAN CHING ROAD,1/7/2022,99 yrs lease commencing from 1976,260002076,202810,Apartment
LAKESIDE APARTMENTS,OCR - [D22],YUAN CHING ROAD,1/5/2022,99 yrs lease commencing from 1977,273884040,182104,Apartment
WATTEN ESTATE CONDOMINIUM,CCR - [D11],SHELFORD ROAD,1/10/2021,Freehold,550804320,207694,Condominium
KEMAMAN POINT,RCR - [D12],JALAN KEMAMAN,1/6/2018,Freehold,143854402,90418,Apartment
EURO-ASIA APARTMENTS,RCR - [D12],SERANGOON ROAD,1/7/2022,Freehold,222182307,119069,Apartment
CASA MEYFORT,RCR - [D15],MEYER ROAD,1/7/2018,Freehold,319881408,145865,Condominium
FLYNN PARK,RCR - [D5],YEW SIANG ROAD,1/9/2021,Freehold,370997087,152048,Condominium
MEYER PARK,RCR - [D15],MEYER ROAD,1/2/2023,Freehold,392184020,144878,Condominium
LA VILLE,RCR - [D15],TANJONG RHU ROAD,1/11/2021,Freehold,151998066,65488,Condominium
LESHAN GARDENS,RCR - [D14],LORONG 32 GEYLANG,1/11/2019,Freehold,26277133,16413,Apartment
PHOENIX HEIGHTS,OCR - [D23],PHOENIX ROAD,1/7/2019,99 yrs lease commencing from 1969,42598829,34746,Apartment
PHOENIX HEIGHTS,OCR - [D23],PHOENIX AVENUE,1/8/2018,99 yrs lease commencing from 1969,33101451,42712,Apartment
GLORIA MANSION,RCR - [D5],PASIR PANJANG ROAD,1/1/2022,Freehold,70311145,36318,Apartment
RESIDENTIAL APARTMENTS,RCR - [D14],GUILLEMARD ROAD/JALAN MOLEK,1/11/2020,9999 yrs lease commencing from 1962,93014382,37131,Apartment
LANDED HOUSING DEVELOPMENT,RCR - [D15],THIAM SIEW AVENUE,1/11/2021,Freehold,814990262,263751,Semi-Detached House
EDEN,CCR - [D10],DRAYCOTT PARK,1/3/2021,Freehold,261661669,54638,Apartment
FAIRHAVEN,CCR - [D9],SOPHIA ROAD,1/11/2020,Freehold,43349463,25145,Apartment
ADVANCE APARTMENTS,RCR - [D14],LORONG 25A GEYLANG,1/12/2020,Freehold,26506678,20871,Apartment
BAODE BUILDING,RCR - [D14],LORONG 35 GEYLANG,1/2/2022,Freehold,27005922,17179,Apartment
TECK GUAN VILLE,OCR - [D16],UPPER EAST COAST ROAD,1/6/2018,Freehold,59989491,35392,Terrace House
CASA SOPHIA,CCR - [D9],SOPHIA ROAD,1/12/2019,Freehold,29000114,15360,Apartment
JANSEN MANSIONS,OCR - [D19],JANSEN ROAD,1/6/2022,999 yrs lease commencing from 1876,19102402,15113,Apartment
VICTORY POINT,RCR - [D12],AVA ROAD/BALESTIER ROAD,1/9/2020,Freehold,11361381,3463,Apartment
LANDED HOUSING DEVELOPMENT,RCR - [D14],LORONG 18 GEYLANG,1/5/2018,Freehold,38216024,18259,Terrace House
LANDED HOUSING DEVELOPMENT,RCR - [D15],HAIG ROAD,1/11/2020,Freehold,32796066,25054,Terrace House
CRESCENT BUILDING,RCR - [D12],BALESTIER ROAD,1/9/2020,Freehold,18101872,4378,Apartment
KLASSIC COURT,RCR - [D15],KOON SENG ROAD,1/6/2021,Freehold,14503071,14445,Apartment
RESIDENTIAL APARTMENTS,CCR - [D9],MOUNT EMILY ROAD,1/2/2021,Freehold,18000437,5549,Apartment
RESIDENTIAL APARTMENTS,CCR - [D11],SHREWSBURY ROAD,1/10/2020,999 yrs lease commencing from 1965,12535041,8966,Apartment
SURREY POINT,CCR - [D11],SURREY ROAD,1/3/2021,Freehold,47811507,23541,Apartment
YUEN SING MANSION,RCR - [D14],LORONG 13 GEYLANG,1/8/2020,Freehold,15204372,9623,Apartment
SOPHIA VILLE,CCR - [D9],SOPHIA ROAD,1/11/2020,Freehold,18653593,7815,Apartment
JI LIANG GARDENS,OCR - [D15],LORONG K TELOK KURAU,1/6/2021,Freehold,18601807,13240,Terrace House
LANDED HOUSING DEVELOPMENT,RCR - [D15],MARSHALL ROAD,1/12/2020,Freehold,2800000,5398,Terrace House
LANDED HOUSING DEVELOPMENT,CCR - [D10],CORONATION ROAD WEST,1/12/2021,Freehold,43174400,21587,Semi-Detached House
WOO MON CHEW COURT,OCR - [D15],WOO MON CHEW ROAD,1/4/2021,Freehold,8600000,6781,Apartment
INSTITUTION VILLE,CCR - [D9],INSTITUTION HILL,1/2/2021,999 yrs lease commencing from 1841,22996473,8417,Apartment
MARINA ONE RESIDENCES,CCR - [D1],MARINA WAY,1/1/2020,99 yrs lease commencing from 2011,8061414,3778,Apartment
SOPHIA VIEW,CCR - [D9],SOPHIA ROAD,1/6/2019,Freehold,9280000,8482,Apartment
75BR,CCR - [D7],BEACH ROAD,1/4/2021,999 yrs lease commencing from 1827,8400000,5447,Apartment
HENRY PARK,CCR - [D10],HOLLAND GROVE ROAD,1/5/2019,999 yrs lease commencing from 1885,12188747,17588,Semi-Detached House
LANDED HOUSING DEVELOPMENT,OCR - [D16],JALAN ANGIN LAUT/UPPER CHANGI ROAD,1/12/2019,Freehold,13295008,15212,Semi-Detached House
MONDO MANSION BUILDING,OCR - [D19],UPPER SERANGOON ROAD,1/1/2023,Freehold,6280000,5490,Apartment
RESIDENTIAL APARTMENTS,RCR - [D15],TEMBELING ROAD,1/8/2020,Freehold,4000000,1855,Apartment
RESIDENTIAL APARTMENTS,RCR - [D14],WESTERHOUT ROAD,1/10/2022,Freehold,8800000,5490,Apartment
RESIDENTIAL APARTMENTS,RCR - [D14],MATTAR ROAD,1/5/2019,Freehold,8520000,8893,Apartment
LANDED HOUSING DEVELOPMENT,RCR - [D15],EAST COAST ROAD,1/11/2018,Freehold,15074878,7556,Terrace House
LANDED HOUSING DEVELOPMENT,OCR - [D15],LORONG N TELOK KURAU,1/12/2020,Freehold,23597216,18508,Semi-Detached House
LANDED HOUSING DEVELOPMENT,OCR - [D15],LORONG H TELOK KURAU,1/6/2018,Freehold,37878766,24050,Detached House
LANDED HOUSING DEVELOPMENT,CCR - [D11],DYSON ROAD\CHANCERY HILL ROAD,1/3/2023,Freehold,61082796,32149,Detached House
RESIDENTIAL APARTMENTS,RCR - [D14],LORONG 4 GEYLANG,1/7/2021,Freehold,3500000,2056,Apartment
RESIDENTIAL APARTMENTS,RCR - [D14],LORONG 32 GEYLANG,1/4/2021,Freehold,4300000,4747,Apartment
RESIDENTIAL APARTMENTS,CCR - [D10],ROBIN DRIVE,1/4/2021,Freehold,16998061,8041,Apartment
LANDED HOUSING DEVELOPMENT,OCR - [D28],JALAN TARI SERIMPI,1/1/2021,999 yrs lease commencing from 1879,2100000,1553,Terrace House
LANDED HOUSING DEVELOPMENT,RCR - [D15],DUKU ROAD,1/11/2021,Freehold,2450000,1743,Terrace House
LANDED HOUSING DEVELOPMENT,RCR - [D15],DUKU ROAD,1/11/2021,Freehold,2450000,1800,Terrace House
LANDED HOUSING DEVELOPMENT,RCR - [D15],DUKU ROAD,1/11/2021,Freehold,2450000,1792,Terrace House
LANDED HOUSING DEVELOPMENT,RCR - [D13],WOODSVILLE CLOSE,1/7/2018,9999 yrs lease commencing from 1966,8400000,3601,Terrace House
LANDED HOUSING DEVELOPMENT,RCR - [D15],CEYLON ROAD,1/10/2022,Freehold,2650000,4004,Terrace House
LANDED HOUSING DEVELOPMENT,OCR - [D19],CHIAP GUAN AVENUE,1/10/2021,999 yrs lease commencing from 1876,6000000,4744,Terrace House
LANDED HOUSING DEVELOPMENT,RCR - [D15],BRANKSOME ROAD,1/5/2020,Freehold,11300061,8639,Semi-Detached House
LANDED HOUSING DEVELOPMENT,CCR - [D9],INSTITUTION HILL,1/2/2021,999 yrs lease commencing from 1841,33597745,8761,Detached House
LANDED HOUSING DEVELOPMENT,OCR - [D19],MARLENE AVENUE,1/11/2021,Freehold,7820000,8870,Semi-Detached House
LANDED HOUSING DEVELOPMENT,CCR - [D11],BARKER ROAD,1/5/2023,Freehold,32201443,14123,Detached House
LANDED HOUSING DEVELOPMENT,RCR - [D5],PASIR PANJANG ROAD,1/11/2022,Freehold,18476166,16380,Detached House
LANDED HOUSING DEVELOPMENT,CCR - [D10],LEEDON ROAD,1/3/2021,Freehold,27793057,18792,Detached House
LANDED HOUSING DEVELOPMENT,CCR - [D11],GILSTEAD ROAD,1/12/2021,Freehold,70010033,43458,Detached House
LANDED HOUSING DEVELOPMENT,CCR - [D10],NASSIM ROAD,1/6/2018,Freehold,218031079,66453,Detached House
RESIDENTIAL APARTMENTS,RCR - [D15],ONAN ROAD,1/1/2021,Freehold,2780000,1983,Apartment
RESIDENTIAL APARTMENTS,RCR - [D15],JOO CHIAT PLACE,1/6/2021,Freehold,1600000,2239,Apartment
