name,zone,category,tenderdate,type,use,tenure,landsize,gfa,top,glslink,notes
CHUAN PARK,OCR - [D19],,1/7/2022,,Condominium,99 yrs lease commencing from 1980,,,,,LORONG CHUAN
LIANG COURT,RCR - [D6],,1/11/2019,,Apartment,97 yrs lease commencing from 1980,,,,,RIVER VALLEY ROAD
PARK VIEW MANSION,OCR - [D22],,1/7/2022,,Apartment,99 yrs lease commencing from 1976,,,,,YUAN CHING ROAD
LAKESIDE APARTMENTS,OCR - [D22],,1/5/2022,,Apartment,99 yrs lease commencing from 1977,,,,,YUAN CHING ROAD
WATTEN ESTATE CONDOMINIUM,CCR - [D11],,1/10/2021,,Condominium,Freehold,,,,,SHELFORD ROAD
KEMAMAN POINT,RCR - [D12],,1/6/2018,,Apartment,Freehold,,,,,JALAN KEMAMAN
EURO-ASIA APARTMENTS,RCR - [D12],,1/7/2022,,Apartment,Freehold,,,,,SERANGOON ROAD
CASA MEYFORT,RCR - [D15],,1/7/2018,,Condominium,Freehold,,,,,MEYER ROAD
FLYNN PARK,RCR - [D5],,1/9/2021,,Condominium,Freehold,,,,,YEW SIANG ROAD
MEYER PARK,RCR - [D15],,1/2/2023,,Condominium,Freehold,,,,,MEYER ROAD
LA VILLE,RCR - [D15],,1/11/2021,,Condominium,Freehold,,,,,TANJONG RHU ROAD
LESHAN GARDENS,RCR - [D14],,1/11/2019,,Apartment,Freehold,,,,,LORONG 32 GEYLANG
PHOENIX HEIGHTS,OCR - [D23],,1/7/2019,,Apartment,99 yrs lease commencing from 1969,,,,,PHOENIX ROAD
PHOENIX HEIGHTS,OCR - [D23],,1/8/2018,,Apartment,99 yrs lease commencing from 1969,,,,,PHOENIX AVENUE
GLORIA MANSION,RCR - [D5],,1/1/2022,,Apartment,Freehold,,,,,PASIR PANJANG ROAD
RESIDENTIAL APARTMENTS,RCR - [D14],,1/11/2020,,Apartment,9999 yrs lease commencing from 1962,,,,,GUILLEMARD ROAD/JALAN MOLEK
LANDED HOUSING DEVELOPMENT,RCR - [D15],,1/11/2021,,Semi-Detached House,Freehold,,,,,THIAM SIEW AVENUE
EDEN,CCR - [D10],,1/3/2021,,Apartment,Freehold,,,,,DRAYCOTT PARK
FAIRHAVEN,CCR - [D9],,1/11/2020,,Apartment,Freehold,,,,,SOPHIA ROAD
ADVANCE APARTMENTS,RCR - [D14],,1/12/2020,,Apartment,Freehold,,,,,LORONG 25A GEYLANG
BAODE BUILDING,RCR - [D14],,1/2/2022,,Apartment,Freehold,,,,,LORONG 35 GEYLANG
TECK GUAN VILLE,OCR - [D16],,1/6/2018,,Terrace House,Freehold,,,,,UPPER EAST COAST ROAD
CASA SOPHIA,CCR - [D9],,1/12/2019,,Apartment,Freehold,,,,,SOPHIA ROAD
JANSEN MANSIONS,OCR - [D19],,1/6/2022,,Apartment,999 yrs lease commencing from 1876,,,,,JANSEN ROAD
VICTORY POINT,RCR - [D12],,1/9/2020,,Apartment,Freehold,,,,,AVA ROAD/BALESTIER ROAD
LANDED HOUSING DEVELOPMENT,RCR - [D14],,1/5/2018,,Terrace House,Freehold,,,,,LORONG 18 GEYLANG
LANDED HOUSING DEVELOPMENT,RCR - [D15],,1/11/2020,,Terrace House,Freehold,,,,,HAIG ROAD
CRESCENT BUILDING,RCR - [D12],,1/9/2020,,Apartment,Freehold,,,,,BALESTIER ROAD
KLASSIC COURT,RCR - [D15],,1/6/2021,,Apartment,Freehold,,,,,KOON SENG ROAD
RESIDENTIAL APARTMENTS,CCR - [D9],,1/2/2021,,Apartment,Freehold,,,,,MOUNT EMILY ROAD
RESIDENTIAL APARTMENTS,CCR - [D11],,1/10/2020,,Apartment,999 yrs lease commencing from 1965,,,,,SHREWSBURY ROAD
SURREY POINT,CCR - [D11],,1/3/2021,,Apartment,Freehold,,,,,SURREY ROAD
YUEN SING MANSION,RCR - [D14],,1/8/2020,,Apartment,Freehold,,,,,LORONG 13 GEYLANG
SOPHIA VILLE,CCR - [D9],,1/11/2020,,Apartment,Freehold,,,,,SOPHIA ROAD
JI LIANG GARDENS,OCR - [D15],,1/6/2021,,Terrace House,Freehold,,,,,LORONG K TELOK KURAU
LANDED HOUSING DEVELOPMENT,RCR - [D15],,1/12/2020,,Terrace House,Freehold,,,,,MARSHALL ROAD
LANDED HOUSING DEVELOPMENT,CCR - [D10],,1/12/2021,,Semi-Detached House,Freehold,,,,,CORONATION ROAD WEST
WOO MON CHEW COURT,OCR - [D15],,1/4/2021,,Apartment,Freehold,,,,,WOO MON CHEW ROAD
INSTITUTION VILLE,CCR - [D9],,1/2/2021,,Apartment,999 yrs lease commencing from 1841,,,,,INSTITUTION HILL
MARINA ONE RESIDENCES,CCR - [D1],,1/1/2020,,Apartment,99 yrs lease commencing from 2011,,,,,MARINA WAY
SOPHIA VIEW,CCR - [D9],,1/6/2019,,Apartment,Freehold,,,,,SOPHIA ROAD
75BR,CCR - [D7],,1/4/2021,,Apartment,999 yrs lease commencing from 1827,,,,,BEACH ROAD
HENRY PARK,CCR - [D10],,1/5/2019,,Semi-Detached House,999 yrs lease commencing from 1885,,,,,HOLLAND GROVE ROAD
LANDED HOUSING DEVELOPMENT,OCR - [D16],,1/12/2019,,Semi-Detached House,Freehold,,,,,JALAN ANGIN LAUT/UPPER CHANGI ROAD
MONDO MANSION BUILDING,OCR - [D19],,1/1/2023,,Apartment,Freehold,,,,,UPPER SERANGOON ROAD
RESIDENTIAL APARTMENTS,RCR - [D15],,1/8/2020,,Apartment,Freehold,,,,,TEMBELING ROAD
RESIDENTIAL APARTMENTS,RCR - [D14],,1/10/2022,,Apartment,Freehold,,,,,WESTERHOUT ROAD
RESIDENTIAL APARTMENTS,RCR - [D14],,1/5/2019,,Apartment,Freehold,,,,,MATTAR ROAD
LANDED HOUSING DEVELOPMENT,RCR - [D15],,1/11/2018,,Terrace House,Freehold,,,,,EAST COAST ROAD
LANDED HOUSING DEVELOPMENT,OCR - [D15],,1/12/2020,,Semi-Detached House,Freehold,,,,,LORONG N TELOK KURAU
LANDED HOUSING DEVELOPMENT,OCR - [D15],,1/6/2018,,Detached House,Freehold,,,,,LORONG H TELOK KURAU
LANDED HOUSING DEVELOPMENT,CCR - [D11],,1/3/2023,,Detached House,Freehold,,,,,DYSON ROAD\CHANCERY HILL ROAD
RESIDENTIAL APARTMENTS,RCR - [D14],,1/7/2021,,Apartment,Freehold,,,,,LORONG 4 GEYLANG
RESIDENTIAL APARTMENTS,RCR - [D14],,1/4/2021,,Apartment,Freehold,,,,,LORONG 32 GEYLANG
RESIDENTIAL APARTMENTS,CCR - [D10],,1/4/2021,,Apartment,Freehold,,,,,ROBIN DRIVE
LANDED HOUSING DEVELOPMENT,OCR - [D28],,1/1/2021,,Terrace House,999 yrs lease commencing from 1879,,,,,JALAN TARI SERIMPI
LANDED HOUSING DEVELOPMENT,RCR - [D15],,1/11/2021,,Terrace House,Freehold,,,,,DUKU ROAD
LANDED HOUSING DEVELOPMENT,RCR - [D15],,1/11/2021,,Terrace House,Freehold,,,,,DUKU ROAD
LANDED HOUSING DEVELOPMENT,RCR - [D15],,1/11/2021,,Terrace House,Freehold,,,,,DUKU ROAD
LANDED HOUSING DEVELOPMENT,RCR - [D13],,1/7/2018,,Terrace House,9999 yrs lease commencing from 1966,,,,,WOODSVILLE CLOSE
LANDED HOUSING DEVELOPMENT,RCR - [D15],,1/10/2022,,Terrace House,Freehold,,,,,CEYLON ROAD
LANDED HOUSING DEVELOPMENT,OCR - [D19],,1/10/2021,,Terrace House,999 yrs lease commencing from 1876,,,,,CHIAP GUAN AVENUE
LANDED HOUSING DEVELOPMENT,RCR - [D15],,1/5/2020,,Semi-Detached House,Freehold,,,,,BRANKSOME ROAD
LANDED HOUSING DEVELOPMENT,CCR - [D9],,1/2/2021,,Detached House,999 yrs lease commencing from 1841,,,,,INSTITUTION HILL
LANDED HOUSING DEVELOPMENT,OCR - [D19],,1/11/2021,,Semi-Detached House,Freehold,,,,,MARLENE AVENUE
LANDED HOUSING DEVELOPMENT,CCR - [D11],,1/5/2023,,Detached House,Freehold,,,,,BARKER ROAD
LANDED HOUSING DEVELOPMENT,RCR - [D5],,1/11/2022,,Detached House,Freehold,,,,,PASIR PANJANG ROAD
LANDED HOUSING DEVELOPMENT,CCR - [D10],,1/3/2021,,Detached House,Freehold,,,,,LEEDON ROAD
LANDED HOUSING DEVELOPMENT,CCR - [D11],,1/12/2021,,Detached House,Freehold,,,,,GILSTEAD ROAD
LANDED HOUSING DEVELOPMENT,CCR - [D10],,1/6/2018,,Detached House,Freehold,,,,,NASSIM ROAD
RESIDENTIAL APARTMENTS,RCR - [D15],,1/1/2021,,Apartment,Freehold,,,,,ONAN ROAD
RESIDENTIAL APARTMENTS,RCR - [D15],,1/6/2021,,Apartment,Freehold,,,,,JOO CHIAT PLACE
