name,zone,category,tenderdate,type,use,tenure,landsize,gfa,top,glslink,notes,dev,landprice,projectname,psf_gfa
Lentor Central,,,12/9/2023,,Residential (Non-Landed),99,158263.9276,443139.428,2028,https://www.ura.gov.sg/Corporate/Land-Sales/Sites-For-Tender/Lentor-Central-apr23,,,,,
Champions Way,,,12/9/2023,,Residential (Non-Landed),99,155351.2135,326243.361,2028,https://www.ura.gov.sg/Corporate/Land-Sales/Sites-For-Tender/Champions-Way,,,,,
Jalan Tembusu,,,18/7/2023,,Residential (Non-Landed),99,221436.2415,775033.842,2028,https://www.ura.gov.sg/Corporate/Land-Sales/Sites-For-Tender/jlntembusu,,,,,
Marina Gardens Lane,Central/South,,27/6/2023,private (790+ units),Residential with Commercial at 1st Sty,99,"131,805",738113.629,2028,https://www.ura.gov.sg/Corporate/Land-Sales/Sites-For-Tender/marina-gardens-lane,,,,,
Lentor Gardens,,,13/4/2023,,Residential (Non-Landed),99,"494,290",,2028,https://www.ura.gov.sg/maps/?service=GLSRELEASE&site=999,,GuocoLand (Singapore) Pte. Ltd. and Intrepid Investments Pte. Ltd.,"$486,800,222",,
Bukit Timah Link,,,3/11/2022,Residential (Non-Landed),Residential,99,"49,632.30","148,904",,,,Bukit One Pte. Ltd.,"$200,001,888.00",,"$14,457.27"
Hillview Rise,,,3/11/2022,Residential (Non-Landed),Residential,99,"111,890.30","313,298",,,,"Far East Civil Engineering (Pte.) Limited and Sekisui House, Ltd.","$320,777,000.00",,"$11,020.61"
Bukit Batok E12,,,13/9/2022,EC,Residential,99,"16,623.70","536,805",2025,https://www.ura.gov.sg/maps/?link=N4IgDg9gliBcoBsCGAXOBGAdAZgGwAYAOAFl21IFZDCBOXCgdgBoQEA7Acw320wePw0GhAEwC6uQugC%2BLAM4BTBAGUAbgGM4IAOIAZZQCUAorqMBBZUZAsAtkjBGAHigVs08EAH05EAK4oACwB1BTl3RFQMHApiclxiOiFSIkIWdi5YdB4%2BbBEaCmx8BnQKGmIRClkvNggAJ0CjJDC4CPcsPH4sguxsBhEeGho0zm5efj76HuohPukqgCMmhTswOABtUCgAEy15m3RrcCQ2BQAtAEk2LYVHOH70FggwJHUoFABPbnxpAF1H1QUtWQn1gGxA2y0EAQxEOzxOFyuNzgAmIj2erw%2BX1kmx2sBAUMIsOOZ0u11usASQ3x6LeIKy3x%2B0iAA,Bukit Batok West Avenue 5,CDL Zenith Pte. Ltd.,336068000,,
Lentor Hills Road (Parcel B),,,13/9/2022,Residential (Non-Landed),Residential,99,"116,451.90","244,550",,,,TID Residential Pte. Ltd.,"$276,360,000.00",,"$12,163.73"
Lentor Central,,,13/9/2022,Residential (Non-Landed),Residential,99,"144,709.70","434,130",,,,"Forsea Residence Pte. Ltd., Soilbuild GroupHoldings Ltd. and UED Alpha Pte. Ltd.","$481,028,300.00",,"$11,926.42"
Dunman Road,,,2/6/2022,Residential (Non-Landed),Residential,99,"271,613.10","950,656",,,,Sing-Haiyi Jade Pte. Ltd.,"$1,283,888,998.00",,"$14,536.62"
Pine Grove (Parcel A),,,2/6/2022,Residential (Non-Landed),Residential,99,"242,555.60","509,368",,,,United Venture Development (No. 5) Pte. Ltd.,"$671,500,800.00",,"$14,189.73"
Bukit Batok E11,,,8/3/2022,EC,Residential,99,"12,449.30","402,001",2025,https://www.ura.gov.sg/maps/?link=N4IgDg9gliBcoBsCGAXOBGAdAZgKwE4B2Q7QgNl2wBYAOOgBgCYAaEBAOwHMN7tNCqjPOkrp8NRlSoBfVgGcApggDKANwDGcEAHEAMsoBKAUV1GAgsqMhWAWyRgjADxQL2aeCAD6ciAFcUABYA6gpy7oioGDi0%2BGKM6GRSZPTErBzcsOi8-Fk0uAlk%2BNjoIjKsnuwQAE6BRkhhcBHuWKS49FSEjMT04uhU6GlcPHwCNOgM44TiNDKyIABG9Qp2YHAA2qBQACZa8zbo1uBI7AoAWgCS7FsKjnCM9AMgEGBI6lAoAJ489NIAuqwQVQKKrIL6wDYgbZaCAIKiHF4nC5XG5wKjtAEvN6fb6yTY7WBPBA0eHHM6Xa63WBUfD4DGvd5grI-X7SIA,Bukit Batok West Avenue 8,"CNQC-OS (2) Pte.
Ltd. and SNC Realty Pte. Ltd.",266000000,,
Dairy Farm Walk,,,8/3/2022,Residential (Non-Landed),Residential,99,"168,593.20","354,049",,,,Sim Lian Land Pte Ltd and Sim Lian Development Pte Ltd,"$347,001,000.00",,"$10,549.39"
Jalan Tembusu,,,18/1/2022,Residential (Non-Landed),Residential,99,"210,616.60","589,730",,,,CDL Triton Pte. Ltd.,"$768,000,000.00",,"$14,017.41"
Lentor Hills Road (Parcel A),,,18/1/2022,Residential (Non-Landed),Residential,99,"184,455.60","553,370",,,,"Intrepid Investments Pte. Ltd., GuocoLand (Singapore) Pte. Ltd. and TID Residential Pte. Ltd.","$586,591,288.00",,"$11,409.84"
Slim Barracks Rise (Parcel A),,,28/9/2021,Residential with Commercial at 1st Sty,Residential with Commercial at 1st Storey,99,"85,649.60","256,950",,,,EL Development Pte Ltd,"$320,100,000.00",,"$13,409.01"
Slim Barracks Rise (Parcel B),,,28/9/2021,Residential with Commercial at 1st Sty,Residential with Commercial at 1st Storey,99,"63,899.50","134,190",,,,Gao Xiuhua,"$162,388,000.00",,"$13,025.43"
Marina View,,,21/9/2021,White Site,White Site (Residential and Hotel use with complementary uses),99,"84,145.90","1,093,899",,,,Boulevard View Pte Ltd,"$1,508,000,101.00",,"$14,838.29"
Tampines E12,,,22/7/2021,EC,Residential,99,"23,799.20","640,416",,https://www.ura.gov.sg/maps/?service=glsrelease&land_parcel_id=Tampines%20E12,Tampines Street 62 (Parcel A),QJ-OS Pte. Ltd. and Santarli Realty Pte. Ltd.,422000000,,
Lentor Central,,,22/7/2021,Residential with Commercial at 1st Sty,Residential with Commercial at 1st Storey,99,"185,994.80","650,985",,,,GLL D Pte. Ltd.,"$784,113,000.00",,"$12,964.83"
Jalan Anak Bukit,,,29/6/2021,Commercial and Residential,Commercial and Residential (integrated with bus interchange),99,"346,428.00","1,039,284",,,,"FE Landmark Pte. Ltd., FEC Residences Trustee Pte. Ltd. (in its capacity as Trustee-Manager of FEC Residences Trust) and FEC Retail Trustee Pte. Ltd. (in its capacity as Trustee-Manager of FEC Retail Trust)","$1,028,333,333.00",,"$10,650.23"
Tengah E1,,,25/5/2021,EC,Residential,99,"22,020.80","663,676",,https://www.ura.gov.sg/maps/?service=glsrelease&land_parcel_id=Tengah%20E1,Tengah Garden Walk,Taurus Properties SG  Pte. Ltd.,400318000,Copen Grand,
Ang Mo Kio Avenue 1,,,25/5/2021,Residential (Non-Landed),Residential,99,"136,476.60","341,197",,,,United Venture Development (2021) Pte. Ltd.,"$381,381,000.00",,"$12,031.33"
Northumberland Road,,,27/4/2021,Residential with Commercial at 1st Sty,Residential with Commercial at 1st Storey,99,"93,997.90","394,800",,,,Maximus Residential SG Pte. Ltd. and Maximus Commercial SG Pte. Ltd.,"$445,888,000.00",,"$12,156.49"
Yishun E10,,,29/10/2020,EC,Residential,99,"21,514.00","648,402",,https://www.ura.gov.sg/maps/?service=glsrelease&land_parcel_id=Yishun%20E10,Yishun Avenue 9,Sing Holdings Limited,373500000,North Gaia,
Tanah Merah Kechil Link,,,29/10/2020,Residential with Commercial at 1st Sty,Residential with Commercial at 1st Storey,99,"95,581.20","267,627",,,,MCC Land (Singapore) Pte. Ltd.,"$248,990,000.00",,"$10,014.08"
Sengkang E14,,,3/3/2020,EC,Residential,99,"17,129.90","516,268",,https://www.ura.gov.sg/maps/?service=glsrelease&land_parcel_id=Sengkang%20E14,Fernvale Lane,FCL Lodge Pte. Ltd.,286538000,Parc Greenwich,
Canberra Drive (Parcel A),,,3/3/2020,Residential (Non-Landed),Residential,99,"143,321.20","200,656",,,,Oasis Development Pte. Ltd.,"$129,196,000.00",,"$6,930.37"
Canberra Drive (Parcel B),,,3/3/2020,Residential (Non-Landed),Residential,99,"296,711.80","415,401",,,,United Venture Development (2020) Pte. Ltd.,"$270,200,000.00",,"$7,001.27"
Irwell Bank Road,,,9/1/2020,Residential (Non-Landed),Residential,99,"137,629.40","385,371",,,,CDL Perseus Pte. Ltd.,"$583,888,000.00",,"$16,308.35"
Jalan Bunga Rampai,,,9/1/2020,Residential (Non-Landed),Residential,99,"50,229.60","105,484",,,,Wee Hur Development Pte Ltd,"$93,390,000.00",,"$9,529.59"
Tan Quee Lan Street,,,5/9/2019,Residential with Commercial at 1st Sty,Residential with Commercial at 1st Storey,99,"124,113.50","521,284",,,,"GLL D Pte. Ltd., Intrepid Investments Pte. Ltd. and Hong Realty (Private) Limited","$800,190,000.00",,"$16,522.61"
Bernam Street,,,5/9/2019,Residential with Commercial at 1st Sty,Residential with Commercial at 1st Storey,99,"41,399.10","301,393",,,,HY Realty Pte. Ltd.,"$440,900,000.00",,"$15,745.87"
one-north Gateway,,,5/9/2019,Residential with Commercial at 1st Sty,Residential with Commercial at 1st Storey,99,"62,199.90","155,502",,,,TID Residential Pte. Ltd.,"$155,738,074.00",,"$10,779.96"
Sembawang E5,,,3/7/2019,EC,Residential,99,"16,690","413,184",,https://www.ura.gov.sg/maps/?service=glsrelease&land_parcel_id=Sembawang%20E5,Canberra Link,MCC Land (Singapore) Pte Ltd,233890000,Provence Residence,
Clementi Avenue 1,,,3/7/2019,Residential (Non-Landed),Residential,99,"178,059.80","623,215",,,,UOL Venture Investments Pte. Ltd. and UIC Homes Pte. Ltd.,"$491,300,000.00",,"$8,485.32"
Sims Drive,,,28/3/2019,Residential (Non-Landed),Residential,99,"174,642.40","523,931",,,,Intrepid Investments Pte. Ltd. and CDL Constellation Pte. Ltd.,"$383,529,936.00",,"$7,879.24"
Middle Road,,,28/3/2019,Residential with Commercial at 1st Sty,Residential with Commercial at 1st Storey,99,"80,324.80","337,365",,,,Wingcharm Investment Pte. Ltd.,"$491,999,999.00",,"$15,697.28"
Tampines E14,,,15/1/2019,EC,Residential,99,"24,933.70","751,464",,https://www.ura.gov.sg/maps/?service=glsrelease&land_parcel_id=Tampines%20E14,Tampines Avenue 10,Hoi Hup Realty Pte Ltd and Sunway Developments Pte Ltd,434450000,Parc Central Residences,
Kampong Java Road,,,15/1/2019,Residential (Non-Landed),Residential,99,"125,324.40","350,916",,,,CELH Development Pte. Ltd.,"$418,380,000.00",,"$12,833.35"
Club Street,,,15/1/2019,Hotel,Hotel,99,"55,125.00","261,664",,,,Midtown Development Pte Ltd,"$562,200,000.00",,"$23,126.29"
Sengkang E18,,,14/9/2018,EC,Residential,99,"17,137.30","553,379.63",,https://www.ura.gov.sg/maps/?service=glsrelease&land_parcel_id=Sengkang%20E18,Anchorvale Crescent,"Evia Real Estate
(8) Pte Ltd & Gamuda (Singapore) Pte Ltd",318888899,OLA,
Sembawang E3b,,,4/9/2018,EC,Residential,99,"18,040.60","485,456.70",,https://www.ura.gov.sg/maps/?service=glsrelease&land_parcel_id=Sembawang%20E3b,Canberra Link,Hoi Hup Realty Pte Ltd and Sunway Developments Pte Ltd,271000000,Parc Canberra,
Dairy Farm Road,,,4/9/2018,Residential with Commercial at 1st Sty,Residential with commercial at 1st storey,99,"211,480.90","444,119",,,,UED Residential Pte. Ltd,"$368,800,001.00",,"$8,938.22"
Jalan Jurong Kechil,,,4/9/2018,Residential (Non-Landed),Residential,99,"153,219.50","214,509",,,,COHL Singapore Pte. Limited and CSC Land Group (Singapore) Pte. Ltd.,"$215,000,000.00",,"$10,788.30"
Sengkang Central,,,21/6/2018,Commercial and Residential,Commercial & Residential,99,"400,998.70","842,105",,,,Siena Residential Development Pte. Ltd. and Siena Trustee Pte. Ltd. (as Trustee-Manager of Siena Commercial Trust),"$777,777,777.00",,"$9,941.43"
Hillview Rise,,,3/5/2018,Residential (Non-Landed),Residential,99,"153,878.20","430,869",,,,Intrepid Investments Pte. Ltd. and Garden Estates (Pte) Limited,"$460,000,000.00",,"$11,491.38"
Cuscaden Road,,,26/4/2018,Residential (Non-Landed),Residential,99,"61,595.00","172,466",,,,"Amberden Pte Ltd, FEC Properties Pte Ltd and Orchard Square Pte. Ltd.","$409,999,999.99",,"$25,588.22"
Mattar Road,,,26/4/2018,Residential (Non-Landed),Residential,99,"67,059.70","201,183",,,,FSKH Development Pte Ltd,"$223,019,000.00",,"$11,931.89"
Silat Avenue,,,26/4/2018,Residential & Residential with Commercial at 1st Sty,Residential & Residential with Commercial at 1st Storey,99,"245,966.60","910,077",,,,"UOL Venture Investments Pte. Ltd., UIC Homes Pte. Ltd. and Kheng Leong Company (Private) Limited","$1,035,300,000.00",,"$12,244.68"
Holland Road,,,20/3/2018,Commercial and Residential,Commercial & Residential,99,"247,208.70","642,751",,,,"Stirling Land Holdings Pte. Ltd., Stirling View Pte. Ltd. (as Trustee of Commons SR Trust) and Stirling Property Pte. Ltd. (as Trustee of Commons Commercial Trust)","$1,213,333,000.00",,"$20,318.73"
Punggol E13,,,27/2/2018,EC,Residential,99,"27,056.40","873,676.75",,https://www.ura.gov.sg/maps/?service=glsrelease&land_parcel_id=Punggol%20E13,Sumang Walk,"CDL Constellation Pte. Ltd. and TID Residential Pte.
Ltd.",509370000,Piermont Grand,
Chong Kuo Road,,,30/1/2018,Residential (Non-Landed),Residential,99,"46,099.60","64,550",,,,Lian Soon Holdings Pte. Ltd. and OKP Land Pte Ltd,"$43,948,000.00",,"$7,328.33"
Handy Road / Mount Sophia,,,30/1/2018,Residential (Non-Landed),Residential,99,"51,624.60","123,201",,,,CDL Regulus Pte. Ltd.,"$212,200,000.00",,"$18,539.23"
West Coast Vale,,,30/1/2018,Residential (Non-Landed),Residential,99,"210,876.00","590,461",,,,CDL Pegasus Pte. Ltd.,"$472,400,000.00",,"$8,611.48"
Fourth Avenue,,,5/12/2017,Residential (Non-Landed),Residential,99,"199,474.10","359,054",,,,Allgreen Properties Limited,"$552,956,000.00",,"$16,576.41"
Jiak Kim Street,,,5/12/2017,Residential with Commercial at 1st Sty,Residential with Commercial at 1st storey,99,"145,112.30","551,432",,,,FCL Residences Pte. Ltd.,"$955,407,818.00",,"$18,649.02"
Beach Road,,,28/9/2017,Commercial,Commercial,99,"226,326.20","950,570",,,,GLL Prosper Pte. Ltd. and GLL Thrive Pte. Ltd.,"$1,622,000,000.00",,"$18,366.49"
Serangoon North Avenue 1,,,27/7/2017,Residential (Non-Landed),Residential,99,"185,017.40","462,546",,,,Corson Pte. Ltd. and Wingjoy Investment Pte. Ltd.,"$446,280,000.00",,"$10,385.13"
Woodleigh Lane,,,11/7/2017,Residential (Non-Landed),Residential,99,"210,396.00","631,191",,,,CEL Unique Development Pte. Ltd.,"$700,700,700.00",,"$11,948.99"
Stirling Road,,,18/5/2017,Residential (Non-Landed),Residential,99,"227,215.20","954,305",,,,Logan Property (Singapore) Company Pte Ltd and Nanshan Group Singapore Co. Pte. Ltd.,"$1,002,719,956.00",,"$11,309.72"
Tampines Avenue 10 (Parcel C),,,25/4/2017,Residential (Non-Landed),Residential,99,"233,761.70","654,537",,,,Bellevue Properties Pte. Ltd.,"$370,100,000.00",,"$6,086.17"
Toh Tuck Road,,,11/4/2017,Residential (Non-Landed),Residential,99,"201,510.60","282,115",,,,S P Setia International (S) Pte Ltd,"$265,000,000.00",,"$10,110.64"
West Coast Vale,,,9/2/2017,Residential (Non-Landed),Residential,99,"176,290.30","493,621",,,,China Construction (South Pacific) Developments Co. Pte. Ltd.,"$291,990,000.00",,"$6,366.99"
Perumal Road,,,10/1/2017,Residential with Commercial at 1st Sty,Residential with Commercial at 1st storey,99,"41,416.40","173,951",,,,Low Keng Huat (Singapore) Limited,"$174,080,000.00",,"$10,771.61"
Margaret Drive,,,6/12/2016,Residential (Non-Landed),Residential,99,"51,771.00","238,899",,,,MCL Land (Regency) Pte. Ltd.,"$238,390,301.00",,"$10,740.72"
Central Boulevard,,,8/11/2016,White Site,White Site,99,"116,986.90","1,520,839",,,,Wealthy Link Pte Ltd ,"$2,568,686,688.00",,"$18,179.73"
Fernvale Road,,,27/9/2016,Residential (Non-Landed),Residential,99,"185,090.60","555,275",,,,Sing Development (Private) Limited and Wee Hur Development Pte. Ltd.,"$287,100,000.00",,"$5,565.25"
Sengkang E20,,,23/8/2016,EC,Residential,99,"21,014.60","678,581.31",,https://www.ura.gov.sg/maps/?service=glsrelease&land_parcel_id=Sengkang%20E20,Anchorvale Lane,Hoi Hup Realty Pte Ltd and Sunway Developments Pte Ltd,240950000,Rivercove Residences,
Martin Place,,,28/6/2016,Residential (Non-Landed),Residential,99,"171,530.60","480,296",,,,First Bedok Land Pte Ltd,"$595,100,000.00",,"$13,336.47"
Bukit Batok West Avenue 6,,,24/5/2016,Commercial and Residential,Commercial and Residential,99,"158,190.10","474,580",,,,Qingjian Realty (BBR) Pte Ltd. and Qingjian Realty (BBC) Pte Ltd.,"$301,160,000.00",,"$6,830.42"
Jalan Kandis,,,7/4/2016,Residential (Non-Landed),Residential,99,"75,836.40","106,173",,,,Dillenia Land Pte. Ltd.,"$51,070,228.00",,"$5,177.44"
New Upper Changi Road / Bedok South Avenue 3,,,23/2/2016,Residential (Non-Landed),Residential,99,"262,568.40","551,400",,,,CEL Residential Development Pte. Ltd.,"$419,380,000.00",,"$8,186.54"
Hougang E6,,,18/2/2016,EC,Residential,99,"18,422.90","555,233.34",,https://www.ura.gov.sg/maps/?service=glsrelease&land_parcel_id=Hougang%20E6,Yio Chu Kang Road,Hoi Hup Realty Pte Ltd,183800000,Hundred Palms Residences,
Siglap Road,,,14/1/2016,Residential (Non-Landed),Residential,99,"207,841.70","727,450",,,,"FCL Topaz Pte. Ltd., Sekisui House, Ltd. and KH Capital Pte. Ltd.","$624,180,000.00",,"$9,235.62"
Clementi Avenue 1,,,9/12/2015,Residential (Non-Landed),Residential,99,"140,334.30","491,178",,,,Singland Homes Pte. Ltd. and UOL Venture Investments Pte. Ltd.,"$302,100,000.00",,"$6,620.21"
Alexandra View,,,12/11/2015,Residential with Commercial at 1st Sty,Residential with Commercial at 1st Storey,99,"90,398.50","442,956",,,,Tang Skyline Pte Ltd,"$376,880,000.00",,"$9,158.02"
Lorong Lew Lian,,,5/11/2015,Residential (Non-Landed),Residential,99,"150,707.20","452,127",,,,"Verwood Holdings Pte. Ltd., Intrepid Investments Pte. Ltd. and TID Residential Pte. Ltd.","$321,000,000.00",,"$7,641.95"
West Coast Vale,,,4/8/2015,Residential (Non-Landed),Residential,99,"203,526.60","569,881",,,,EL Development Pte Ltd,"$314,100,000.00",,"$5,932.57"
Choa Chu Kang E12,,,28/7/2015,EC,Residential,99,"16,386.10","529,122.67",,https://www.ura.gov.sg/maps/?service=glsrelease&land_parcel_id=Choa%20Chu%20Kang%20E12,Choa Chu Kang Avenue 5,"Qingjian Realty (Residential) Pte. Ltd, Suntec Property Ventures Pte Ltd and Bohai Investments (Sengkang) Pte Ltd",156157000,iNZ Residence,
Tampines Avenue 10,,,28/4/2015,Residential (Non-Landed),Residential,99,"168,563.00","471,986",,,,MCC Land (Singapore) Pte Ltd,"$227,780,000.00",,"$5,194.53"
Paya Lebar Road / Sims Avenue,,,31/3/2015,Commercial,Commercial,99,"422,265.50","1,773,516",,,,"Roma Central Pte Ltd, Milano Central Pte Ltd and Verona Central Pte Ltd","$1,671,688,888.00",,"$10,145.65"
Sturdee Road,,,24/3/2015,Residential (Non-Landed),Residential,99,"65,782.00","230,245",,,,SL Capital (1) Pte Ltd,"$181,189,000.00",,"$8,470.34"
Jurong West Street 41,,,10/3/2015,Residential (Non-Landed),Residential,99,"191,630.60","536,568",,,,MCL Land (Vantage) Pte. Ltd.,"$338,118,000.00",,"$6,782.71"
Woodlands E7,,,12/2/2015,EC,Residential,99,"12,388.30","373,361.26",,https://www.ura.gov.sg/maps/?service=glsrelease&land_parcel_id=Woodlands%20E7,Woodlands Avenue 12,Hao Yuan Investment Pte Ltd,103790000,Northwave,
Sengkang E17,,,20/1/2015,EC,Residential,99,"17,450.10","563,480.24",,https://www.ura.gov.sg/maps/?service=glsrelease&land_parcel_id=Sengkang%20E17,Anchorvale Crescent,Sim Lian Land Pte Ltd,157800000,Treasure Crest,
Upper Serangoon Road,,,27/11/2014,Residential with Commercial at 1st Sty,Residential with Commercial at 1st Storey,99,"108,681.60","326,052",,,,Asset Legend Limited,"$276,774,000.00",,"$9,136.87"
Lorong Puntong,,,8/10/2014,Residential (Non-Landed),Residential,99,"113,048.40","237,403",,,,Nanshan Group Singapore Co. Pte Ltd,"$173,570,000.00",,"$7,869.51"
Sembawang E2a,,,30/9/2014,EC,Residential,99,"28,745.90","649,762.61",,https://www.ura.gov.sg/maps/?service=glsrelease&land_parcel_id=Sembawang%20E2a,Sembawang Road / Canberra Link,Qingjian Realty (Residential) Pte Ltd.,229377000,The Visionaire,
Choa Chu Kang E6,,,4/9/2014,EC,Residential,99,"19,058.00","574,374.12",,https://www.ura.gov.sg/maps/?service=glsrelease&land_parcel_id=Choa%20Chu%20Kang%20E6,Choa Chu Kang Drive,Sim Lian Land Pte Ltd,207400000,Wandervale,
Gambas Crescent / Sembawang Avenue,,,26/8/2014,Industrial,Business 1,30,"168,612.60",#VALUE!,,,,NSS Realty Pte. Ltd.,"$35,000,000.00",,$893.71
Meyappa Chettiar Road,,,19/8/2014,Commercial and Residential,Commercial and Residential,99,"173,826.50","608,394",,,,MCC Land (Singapore) Pte Ltd,"$471,618,000.00",,"$8,343.82"
Fernvale Road,,,7/8/2014,Residential (Non-Landed),Residential,99,"178,718.50","536,159",,,,CEL Development Pte. Ltd. and Unique Residence Pte. Ltd.,"$234,933,000.00",,"$4,716.39"
Fernvale Road,,,7/8/2014,Residential (Non-Landed),Residential,99,"187,437.10","562,315",,,,CEL Development Pte. Ltd. and Unique Residence Pte. Ltd.,"$252,122,000.00",,"$4,826.04"
Sembawang E1b,,,10/7/2014,EC,Residential,99,"22,189.70","668,757.98",,https://www.ura.gov.sg/maps/?service=glsrelease&land_parcel_id=Sembawang%20E1b,Sembawang Avenue,FCL Tampines Court Pte. Ltd. & KH Capital Pte. Ltd.,214080000,Parc Life,
Woodlands Avenue 12,,,1/7/2014,Industrial,Business 1 with an integrated Heavy Vehicle Park,30,"422,248.20",#VALUE!,,,,Wee Hur Development Pte Ltd,"$76,900,000.00",,$784.11
Yishun E5,,,22/5/2014,EC,Residential,99,"17,940.20","540,685.63",,https://www.ura.gov.sg/maps/?service=glsrelease&land_parcel_id=Yishun%20E5,Yishun Street 51 (Parcel A),"Verwood Holdings Pte. Ltd. and TID Residential Pte.
Ltd.",178500000,The Criterion,
Yishun E6,,,22/5/2014,EC,Residential,99,"18,260.40","550,335.88",,https://www.ura.gov.sg/maps/?service=glsrelease&land_parcel_id=Yishun%20E6,Yishun Street 51 (Parcel B),JBE Holdings Pte Ltd,184130000,Signature at Yishun,
Prince Charles Crescent,,,16/4/2014,Residential (Non-Landed),Residential,99,"268,707.00","564,295",,,,UOL Venture Investments Pte. Ltd. and Kheng Leong Company (Private) Limited,"$463,100,000.00",,"$8,833.40"
Woodlands Square,,,8/4/2014,Commercial,Commercial,99,"199,868.00","699,540",,,,"Far East Civil Engineering (Pte.) Limited, Tannery Holdings Pte Ltd and Sekisui House, Ltd.","$633,999,000.00",,"$9,755.18"
Yishun Avenue 9 / Yishun Avenue 6,,,11/3/2014,Residential (Non-Landed),Residential,99,"221,233.90","619,459",,,,EL Development Pte Ltd,"$278,800,000.00",,"$4,844.40"
Choa Chu Kang E7,,,25/2/2014,EC,Residential,99,"16,455.00","619,905.43",,https://www.ura.gov.sg/maps/?service=glsrelease&land_parcel_id=Choa%20Chu%20Kang%20E7,Choa Chu Kang Grove (Parcel A),MCL Land (Brighton) Pte. Ltd.,232500000,Sol Acres,
Choa Chu Kang E8,,,25/2/2014,EC,Residential,99,"16,453.60","619,852.69",,https://www.ura.gov.sg/maps/?service=glsrelease&land_parcel_id=Choa%20Chu%20Kang%20E8,Choa Chu Kang Grove (Parcel B),MCL Land (Brighton) Pte. Ltd.,210100000,,
Sengkang E4,,,13/2/2014,EC,Residential,99,"16,280.00","525,696.60",,https://www.ura.gov.sg/maps/?service=glsrelease&land_parcel_id=Sengkang%20E4,Anchorvale Crescent,Phoenix Real Estate Pte Ltd,192888888,The Vales,
